date,ticker,open,high,low,close,volume
2025-03-10,MSTR,268.0,272.0,231.62,239.27,31478334
2025-03-11,MSTR,245.0,263.0999,231.51,260.59,22076133
2025-03-12,MSTR,264.6,269.7721,248.22,262.55,14328551
2025-03-13,MSTR,262.0,270.405,253.76,263.26,13804685
2025-03-14,MSTR,273.99,298.7,272.62,297.49,23714043
2025-03-17,MSTR,292.15,296.8068,281.6,294.27,12998721
2025-03-18,MSTR,283.2,290.99,272.5,283.19,15398200
2025-03-19,MSTR,290.3,309.0832,287.12,304.23,19378788
2025-03-20,MSTR,298.79,309.4,293.4,302.07,15058059
2025-03-21,MSTR,295.7,306.39,293.0493,304.0,21773999
2025-03-24,MSTR,316.14,336.77,311.36,335.72,23099744
2025-03-25,MSTR,333.48,343.5899,329.5,341.81,15053724
2025-03-26,MSTR,336.5,340.3399,319.73,329.31,16797178
2025-03-27,MSTR,322.53,333.49,318.0,324.59,13838338
2025-03-28,MSTR,318.38,320.8,289.25,289.41,21058915
2025-03-31,MSTR,281.87,294.885,272.8,288.27,14866292
2025-04-01,MSTR,293.53,307.6,280.6509,306.02,16780113
2025-04-02,MSTR,297.86,319.47,296.98,312.54,16293825
2025-04-03,MSTR,286.75,299.2249,276.03,282.28,18223003
2025-04-04,MSTR,285.015,299.14,265.3022,293.61,24847129
2025-04-07,MSTR,260.14,297.6,252.6,268.14,28449324
2025-04-08,MSTR,278.15,282.8394,235.93,237.95,22952708
2025-04-09,MSTR,242.015,302.34,241.69,296.86,38346353
2025-04-10,MSTR,282.5,288.3119,261.37,272.34,19237822
2025-04-11,MSTR,281.3,304.15,276.3,299.98,21334111
2025-04-14,MSTR,309.8,314.6,300.1,311.45,15635383
2025-04-15,MSTR,312.22,319.75,306.81,310.72,11217784
2025-04-16,MSTR,306.06,318.6,304.0,311.66,12847246
2025-04-17,MSTR,313.89,320.0,306.0,317.2,13511095
2025-04-21,MSTR,324.99,330.994,309.0,317.76,16053189
2025-04-22,MSTR,328.705,348.96,327.01,343.03,24036452
2025-04-23,MSTR,354.7,355.83,339.0,345.73,16690595
2025-04-24,MSTR,344.97,351.03,343.2401,350.34,10781322
2025-04-25,MSTR,354.0,373.23,353.12,368.71,19338496
2025-04-28,MSTR,373.29,373.66,354.53,369.25,11490619
2025-04-29,MSTR,369.02,383.95,366.8,381.45,13037490
2025-04-30,MSTR,373.775,384.0,362.3901,380.11,13762876
2025-05-01,MSTR,392.29,403.9,381.03,381.6,16944061
2025-05-02,MSTR,393.875,401.7,387.51,394.37,15918963
